"dates","prec"
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-24,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-25,0
2013-04-26,0
2013-04-26,0
2013-04-26,0
2013-04-26,0
2013-04-26,0
2013-04-26,0
2013-04-26,0
2013-04-26,0
2013-04-26,0
2013-04-26,0
2013-04-26,0
2013-04-26,0
2013-04-26,0
2013-04-26,0
2013-04-26,0.500000007450581
2013-04-26,0.500000007450581
2013-04-26,0.700000010430813
2013-04-26,4.20000006258488
2013-04-26,1.80000002682209
2013-04-26,0.400000005960464
2013-04-26,0.300000004470348
2013-04-26,0.900000013411045
2013-04-26,0.300000004470348
2013-04-26,2.00000002980232
2013-04-27,0.700000010430813
2013-04-27,0.300000004470348
2013-04-27,0.200000002980232
2013-04-27,0.200000002980232
2013-04-27,0.300000004470348
2013-04-27,0
2013-04-27,0.100000001490116
2013-04-27,0.300000004470348
2013-04-27,0
2013-04-27,0.100000001490116
2013-04-27,0
2013-04-27,0
2013-04-27,0.100000001490116
2013-04-27,0.100000001490116
2013-04-27,0.600000008940697
2013-04-27,0.200000002980232
2013-04-27,0.500000007450581
2013-04-27,0.700000010430813
2013-04-27,0.100000001490116
2013-04-27,0
2013-04-27,0.100000001490116
2013-04-27,0
2013-04-27,0
2013-04-27,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-28,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-29,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-04-30,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-01,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-02,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-03,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-04,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-05,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-06,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-07,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0
2013-05-08,0.200000002980232
2013-05-08,0.200000002980232
2013-05-08,0
2013-05-08,0
2013-05-09,0
2013-05-09,0
2013-05-09,0
2013-05-09,0
2013-05-09,0
2013-05-09,0
2013-05-09,0
2013-05-09,0
2013-05-09,0
2013-05-09,0
2013-05-09,0.100000001490116
2013-05-09,0
2013-05-09,1.00000001490116
2013-05-09,3.1000000461936
2013-05-09,4.60000006854534
2013-05-09,0.300000004470348
2013-05-09,0
2013-05-09,0
2013-05-09,0
2013-05-09,0.100000001490116
2013-05-09,0
2013-05-09,0
2013-05-09,0
2013-05-09,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-10,0
2013-05-11,0
2013-05-11,0
2013-05-11,0
2013-05-11,0
2013-05-11,0
2013-05-11,0
2013-05-11,0
2013-05-11,0
2013-05-11,0
2013-05-11,0
2013-05-11,0
2013-05-11,0
2013-05-11,0
2013-05-11,0
2013-05-11,0
2013-05-11,0
2013-05-11,0.100000001490116
2013-05-11,0
2013-05-11,0
2013-05-11,0
2013-05-11,0
2013-05-11,0.200000002980232
2013-05-11,0.500000007450581
2013-05-11,0
2013-05-12,0
2013-05-12,0
2013-05-12,0
2013-05-12,0.200000002980232
2013-05-12,0.200000002980232
2013-05-12,0
2013-05-12,0.600000008940697
2013-05-12,0.400000005960464
2013-05-12,0.200000002980232
2013-05-12,0.600000008940697
2013-05-12,0
2013-05-12,0
2013-05-12,0
2013-05-12,0
2013-05-12,0
